name,nationality,sex,height,sport,gold,silver,bronze
Linda Stahl,GER,female,1.76,athletics,0,0,0
Linda Villumsen,NZL,female,1.65,cycling,0,0,0
Linda Zetchiri,BUL,female,1.69,badminton,0,0,0
Lindaweni Fanetri,INA,female,1.67,badminton,0,0,0
Linden Hall,AUS,female,1.67,athletics,0,0,0
Lindiwe Magwede,ZIM,female,1.76,football,0,0,0
Lindolfo Delgado,MEX,male,1.74,boxing,0,0,0
Lindon Victor,GRN,male,,athletics,0,0,0
Lindsay Hanekom,RSA,male,1.78,athletics,0,0,0
Lindsay Jennerich,CAN,female,1.65,rowing,0,1,0
Lindsay Whalen,USA,female,1.75,basketball,1,0,0
Lindsey Harding,BLR,female,1.73,basketball,0,0,0
Lindsey Horan,USA,female,1.75,football,0,0,0
Line Kjaersfeldt,DEN,female,1.75,badminton,0,0,0
Linet Arasa,KEN,female,2.03,rugby sevens,0,0,0
Ling Li,CHN,female,1.85,athletics,0,0,0
Ling Zhang,CHN,female,1.82,rowing,0,0,0
Ling Zhang,CHN,female,1.72,gymnastics,0,0,0
Lingwei Kong,CHN,female,1.63,athletics,0,0,0
Lingwei Li,CHN,female,1.74,athletics,0,0,0
Linn Blohm,SWE,female,1.80,handball,0,0,0
Linn-Kristin Riegelhuth Koren,NOR,female,1.75,handball,0,0,1
Linnea Stensils,SWE,female,1.78,canoe,0,0,0
Linnea Torstensson,SWE,female,1.86,handball,0,0,0
Lino Munoz,MEX,male,1.74,badminton,0,0,0
Linus Butt,GER,male,1.86,hockey,0,0,1
Liosbel Hernandez,CUB,male,1.90,rowing,0,0,0
Lisa Altenburg,GER,female,1.55,hockey,0,0,1
Lisa Brennauer,GER,female,1.68,cycling,0,0,0
Lisa Carrington,NZL,female,1.68,canoe,1,0,1
Lisa Dahlkvist,SWE,female,1.73,football,0,1,0
Lisa Darmanin,AUS,female,1.68,sailing,0,1,0
Lisa Ecker,AUT,female,1.57,gymnastics,0,0,0
Lisa Ericson,SWE,female,1.65,sailing,0,0,0
Lisa Graf,GER,female,1.83,aquatics,0,0,0
Lisa Hahner,GER,female,1.67,athletics,0,0,0
Lisa Jane Weightman,AUS,female,1.57,athletics,0,0,0
Lisa Klein,GER,female,1.70,cycling,0,0,0
Lisa Mayer,GER,female,1.71,athletics,0,0,0
Lisa Norden,SWE,female,1.76,triathlon,0,0,0
Lisa Roman,CAN,female,1.78,rowing,0,0,0
Lisa Ryzih,GER,female,1.79,athletics,0,0,0
Lisa Schmidla,GER,female,1.73,rowing,1,0,0
Lisa Schutze,GER,female,1.72,hockey,0,0,1
Lisa Unruh,GER,female,1.80,archery,0,1,0
Lisa Weiss,GER,female,1.71,football,0,0,0
Lisa Zaiser,AUT,female,1.74,aquatics,0,0,0
Lisa de Vanna,AUS,female,1.56,football,0,0,0
Lisandra Guerra Rodriguez,CUB,female,1.67,cycling,0,0,0
Lisandro Magallan,ARG,male,1.81,football,0,0,0
Lisanne de Witte,NED,female,1.75,athletics,0,0,0
Lisbet Jakobsen,DEN,female,1.79,rowing,0,0,0
Lisneidy Veitia,CUB,female,1.68,athletics,0,0,0
Lissa Labiche,SEY,female,1.72,athletics,0,0,0
Lissette Alexandra Antes Castillo,ECU,female,1.77,wrestling,0,0,0
Litia Naiqato,FIJ,female,1.80,rugby sevens,0,0,0
Liu Ying Goh,MAS,female,1.66,badminton,0,1,0
Liubomyr Lemeshko,UKR,male,1.86,aquatics,0,0,0
Liubov Basova,UKR,female,1.62,cycling,0,0,0
Liudmila Dmitrieva,RUS,female,1.80,sailing,0,0,0
Liudmyla Kichenok,UKR,female,1.76,tennis,0,0,0
Livan Lopez Azcuy,CUB,male,1.70,wrestling,0,0,0
Livan Osoria Rodriguez,CUB,male,2.01,volleyball,0,0,0
Livio LA PADULA,ITA,male,1.83,rowing,0,0,0
Lizanne Murphy,CAN,female,1.85,basketball,0,0,0
Lizhu Huang,CHN,female,1.74,sailing,0,0,0
Lizzie Lee,IRL,female,1.65,athletics,0,0,0
Lkhamdegd Purevjargal,MGL,female,1.80,judo,0,0,0
Loan His,FRA,female,1.60,gymnastics,0,0,0
Logan Cunningham,USA,male,1.76,athletics,0,0,0
Logan Dooley,USA,male,1.75,gymnastics,0,0,0
Lohaynny Vicente,BRA,female,1.68,badminton,0,0,0
Loic Pietri,FRA,male,1.77,judo,0,0,0
Loick Luypaert,BEL,male,1.81,hockey,0,1,0
Lois Abbingh,NED,female,1.78,handball,0,0,0
Lois Maikel Martinez,ESP,male,1.87,athletics,0,0,0
Lois Toulson,GBR,female,1.66,aquatics,0,0,0
Lok Yan Poon,HKG,female,1.69,badminton,0,0,0
Lola Riera,ESP,female,1.72,hockey,0,0,0
Lolita Ananasova,UKR,female,1.69,aquatics,0,0,0
Lomano Lemeki,JPN,male,1.77,rugby sevens,0,0,0
Long Chen,CHN,male,1.88,badminton,1,0,0
Long Gutierrez Feng,MEX,male,1.90,aquatics,0,0,0
Long Ma,CHN,male,1.75,table tennis,2,0,0
Lonneke Sloetjes,NED,female,1.92,volleyball,0,0,0
Loredana Dinu,ROU,female,1.68,fencing,1,0,0
Lorena Molinos,BRA,female,1.60,aquatics,0,0,0
Lorene Dorcas Bazolo,POR,female,1.70,athletics,0,0,0
Lorenzo Sotomayor Collazo,AZE,male,1.85,boxing,0,1,0
Loreta Gulotta,ITA,female,1.74,fencing,0,0,0
Lornah Chemtai Korlima,ISR,female,1.65,athletics,0,0,0
Lorraine Ugen,GBR,female,1.79,athletics,0,0,0
Lorrane Oliveira,BRA,female,1.53,gymnastics,0,0,0
Lorys Bourelly,FRA,male,1.86,aquatics,0,0,0
Lote Tuqiri,JPN,male,1.89,rugby sevens,0,0,0
Lotta Lepisto,FIN,female,1.64,cycling,0,0,0
Lotta Schelin,SWE,female,1.79,football,0,1,0
Lotte Friis,DEN,female,1.83,aquatics,0,0,0
Lotte Kopecky,BEL,female,1.71,cycling,0,0,0
Louis Croenen,BEL,male,1.86,aquatics,0,0,0
Louis Meintjes,RSA,male,1.73,cycling,0,0,0
Louis Smith,GBR,male,1.80,gymnastics,0,1,0
Louisa Cadamuro,FRA,female,1.68,football,0,0,0
Louisa Chafee,USA,female,1.66,sailing,0,0,0
Louisa Gurski,GBR,female,1.72,canoe,0,0,0
Louise Bawden,AUS,female,1.83,volleyball,0,0,0
Louise Bloor,GBR,female,1.68,athletics,0,0,0
Louise Carton,BEL,female,1.81,athletics,0,0,0
Louise Hansson,SWE,female,1.87,aquatics,0,0,0
Louise Sand,SWE,female,1.64,handball,0,0,0
Louise Vanhille,FRA,female,1.67,gymnastics,0,0,0
Lourdes Mohedano,ESP,female,1.73,gymnastics,0,1,0
Lovisa Lindh,SWE,female,1.69,athletics,0,0,0
Lu Li,CHN,female,1.60,canoe,0,0,0
Luan,BRA,male,1.80,football,1,0,0
Luan Garcia,BRA,male,1.83,football,1,0,0
Luba Golovina,GEO,female,1.72,gymnastics,0,0,0
Lubna Alomair,KSA,female,1.52,fencing,0,0,0
Lubomir Jancarik,CZE,male,1.93,table tennis,0,0,0
Luc Abalo,FRA,male,1.82,handball,0,1,0
Luca Agamennoni,ITA,male,1.87,rowing,0,0,0
Luca Braidot,ITA,male,1.79,cycling,0,0,0
Luca Cupido,USA,male,1.88,aquatics,0,0,0
Luca Dotto,ITA,male,1.92,aquatics,0,0,0
Luca Leonardi,ITA,male,1.91,aquatics,0,0,0
Luca Marin,ITA,male,1.87,aquatics,0,0,0
Luca Masso,ARG,male,1.86,hockey,1,0,0
Luca Pizzini,ITA,male,1.85,aquatics,0,0,0
Luca Roman,ITA,male,1.74,equestrian,0,0,0
Luca Vettori,ITA,male,2.00,volleyball,0,1,0
Lucas Bruchet,CAN,male,1.83,athletics,0,0,0
Lucas Calabrese,ARG,male,1.68,sailing,0,0,0
Lucas Candido,BRA,male,1.85,handball,0,0,0
Lucas Carvalho,BRA,male,1.75,athletics,0,0,0
Lucas Daniel,FRA,male,1.80,archery,0,0,0
Lucas Duque,BRA,male,1.70,rugby sevens,0,0,0
Lucas Jakubczyk,GER,male,1.83,athletics,0,0,0
Lucas Kozeniesky,USA,male,1.81,shooting,0,0,0
Lucas Paixao,BRA,male,1.72,hockey,0,0,0
Lucas Rey,ARG,male,1.77,hockey,1,0,0
Lucas Romero,ARG,male,1.69,football,0,0,0
Lucas Rossi,ARG,male,1.88,hockey,1,0,0
Lucas Saatkamp,BRA,male,2.09,volleyball,1,0,0
Lucas Schaefer,GER,male,1.87,rowing,0,0,0
Lucas Tramer,SUI,male,1.83,rowing,1,0,0
Lucas Vila,ARG,male,1.72,hockey,1,0,0
Lucia Falasca,ARG,female,1.71,sailing,0,0,0
Lucia Fresco,ARG,female,1.95,volleyball,0,0,0
Lucia Haro,ARG,female,1.78,handball,0,0,0
Lucia Hrivnak Klocova,SVK,female,1.72,athletics,0,0,0
Lucia Jimenez,ESP,female,1.63,hockey,0,0,0
Lucia Mwihaki Kimani,BIH,female,1.66,athletics,0,0,0
Lucia Palermo,ARG,female,1.73,rowing,0,0,0
Luciana,BRA,female,1.71,football,0,0,0
Luciana Diniz,POR,female,1.75,equestrian,0,0,0
Luciana Mendoza,ARG,female,1.70,handball,0,0,0
Luciana Salvado,ARG,female,1.69,handball,0,0,0
Lucianne Barroncas,BRA,female,1.69,aquatics,0,0,0
Luciano Taccone,ARG,male,1.76,triathlon,0,0,0
Luciano de Cecco,ARG,male,1.91,volleyball,0,0,0
Lucie Hradecka,CZE,female,1.78,tennis,0,0,1
Lucie Safarova,CZE,female,1.77,tennis,0,0,1
Lucie Svecena,CZE,female,1.75,aquatics,0,0,0
Lucien Cujean,SUI,male,1.84,sailing,0,0,0
Lucien Delfour,AUS,male,1.77,canoe,0,0,0
Lucija Zaninovic,CRO,female,1.70,taekwondo,0,0,0
Lucila Pascua,ESP,female,1.96,basketball,0,1,0
Lucilla Boari,ITA,female,1.62,archery,0,0,0
Lucina von der Heyde,ARG,female,1.60,hockey,0,0,0
Lucy Davis,USA,female,1.66,equestrian,0,1,0
Lucy Oliver,NZL,female,1.68,athletics,0,0,0
Lucy Stephan,AUS,female,1.74,rowing,0,0,0
Ludger Beerbaum,GER,male,1.90,equestrian,0,0,1
Ludovic Chammartin,SUI,male,1.68,judo,0,0,0
Ludovic Fabregas,FRA,male,1.98,handball,0,1,0
Ludovic Henry,FRA,male,1.95,equestrian,0,0,0
Ludovico Edalli,ITA,male,1.65,gymnastics,0,0,0
Ludvy Vaillant,FRA,male,1.80,athletics,0,0,0
Ludwig Paischer,AUT,male,1.70,judo,0,0,0
Ludwig Svennerstal,SWE,male,1.84,equestrian,0,0,0
Luguelin Santos,DOM,male,1.63,athletics,0,0,0
Luigi Lodde,ITA,male,1.70,shooting,0,0,0
Luigi Teilemb,VAN,male,1.87,rowing,0,0,0
Luillys Jose Perez Mora,VEN,male,1.81,wrestling,0,0,0
Luis Alberto Garcia Brito,DOM,male,1.48,weightlifting,0,0,0
Luis Alberto Orta,VEN,male,1.60,athletics,0,0,0
Luis Ariel Molina,ARG,male,1.72,athletics,0,0,0
Luis Brethauer,GER,male,1.76,cycling,0,0,0
Luis Cabrera,VEN,male,1.76,boxing,0,0,0
Luis Charles,DOM,male,1.83,athletics,0,0,0
Luis Emigdio Vega,CUB,male,1.79,aquatics,0,0,0
Luis Enrique Lemus Davila,MEX,male,1.73,cycling,0,0,0
Luis Fernando Lopez,COL,male,1.66,athletics,0,0,0
Luis Henry Campos,PER,male,1.66,athletics,0,0,0
Luis Hurtado,COL,male,1.86,football,0,0,0
Luis Javier Mosquera Lozano,COL,male,1.65,weightlifting,0,0,1
Luis Joel Castro,PUR,male,1.98,athletics,0,0,0
Luis Lopez,HON,male,1.83,football,0,0,0
Luis Lopez,ESA,male,,athletics,0,0,0
Luis Martin Arcon,VEN,male,1.79,boxing,0,0,0
Luis Martinez,GUA,male,1.82,aquatics,0,0,0
Luis Ostos,PER,male,1.60,athletics,0,0,0
Luis Scola,ARG,male,2.04,basketball,0,0,0
Luis Vasquez,COL,male,1.87,football,0,0,0
Luisa Borges,BRA,female,1.66,aquatics,0,0,0
Luisa Fatiaki Taitapu Peters,COK,female,1.65,weightlifting,0,0,0
Luisa Helga Gerda Niemesch,GER,female,1.65,wrestling,0,0,0
Luisa Kiala,ANG,female,1.80,handball,0,0,0
Luisa Tisolo,FIJ,female,1.75,rugby sevens,0,0,0
Luisa Trombetti,ITA,female,1.73,aquatics,0,0,0
Luise Malzahn,GER,female,1.77,judo,0,0,0
Luisito Pie,DOM,male,1.83,taekwondo,0,0,1
Luiz Alberto de Araujo,BRA,male,1.90,athletics,0,0,0
Luiz Altamir,BRA,male,1.74,aquatics,0,0,0
Luiz Felipe Marques Fonteles,BRA,male,1.96,volleyball,1,0,0
Luiz Felipe Outerelo,BRA,male,1.81,aquatics,0,0,0
Luiza Campos,BRA,female,1.65,rugby sevens,0,0,0
Luiza Carvalho,BRA,female,1.82,aquatics,0,0,0
Luiza Ganieva,UZB,female,1.66,gymnastics,0,0,0
Luiza Gega,ALB,female,1.59,athletics,0,0,0
Luiza Saidiyeva,KAZ,female,1.62,archery,0,0,0
Luiza Tavares de Almeida,BRA,female,1.68,equestrian,0,0,0
Luka Babic,CRO,male,2.02,basketball,0,0,0
Luka Bozic,SLO,male,1.73,canoe,0,0,0
Luka Bukic,CRO,male,1.95,aquatics,0,1,0
Luka Cindric,CRO,male,1.82,handball,0,0,0
Luka Janezic,SLO,male,1.92,athletics,0,0,0
Luka Karabatic,FRA,male,2.02,handball,0,1,0
Luka Loncar,CRO,male,1.95,aquatics,0,1,0
Luka Mratovic,CRO,male,1.90,sailing,0,0,0
Luka Stepancic,CRO,male,2.03,handball,0,0,0
Lukas Dauser,GER,male,1.72,gymnastics,0,0,0
Lukas Fernandes,DEN,male,1.87,football,0,0,0
Lukas Gdula,CZE,male,1.78,athletics,0,0,0
Lukas Helesic,CZE,male,1.89,rowing,0,0,0
Lukas Klostermann,GER,male,1.89,football,0,1,0
Lukas Krpalek,CZE,male,1.97,judo,1,0,0
Lukas Melich,CZE,male,1.86,athletics,0,0,0
Lukas Nilsson,SWE,male,1.94,handball,0,0,0
Lukas Rosol,CZE,male,1.95,tennis,0,0,0
Lukas Trefil,CZE,male,1.87,canoe,0,0,1
Lukas Weisshaidinger,AUT,male,1.96,athletics,0,0,0
Lukas Werro,SUI,male,1.75,canoe,0,0,0
Lukasz Gierak,POL,male,1.94,handball,0,0,0
Lukasz Grzeszczuk,POL,male,1.90,athletics,0,0,0
Lukasz Krawczuk,POL,male,1.84,athletics,0,0,0
Lukasz Kubot,POL,male,1.91,tennis,0,0,0
Lukasz Nowak,POL,male,1.94,athletics,0,0,0
Lukasz Przybytek,POL,male,1.78,sailing,0,0,0
Luke Bezzina,MLT,male,,athletics,0,0,0
Luke Cutts,GBR,male,1.87,athletics,0,0,0
Luke Mathews,AUS,male,1.83,athletics,0,0,0
Luke Patience,GBR,male,1.67,sailing,0,0,0
Luke Ramsay,CAN,male,1.73,sailing,0,0,0
Lum Zhaveli,KOS,male,1.94,aquatics,0,0,0
Lumin Wang,CHN,male,1.70,wrestling,0,0,0
Lungile Gongqa,RSA,male,1.62,athletics,0,0,0
Lurdes Marcelina Monteiro,ANG,female,1.70,handball,0,0,0
Lusapho April,RSA,male,1.72,athletics,0,0,0
Lutalo Muhammad,GBR,male,1.91,taekwondo,0,1,0
Lutimar Paes,BRA,male,1.84,athletics,0,0,0
Luuka Jones,NZL,female,1.72,canoe,0,1,0
Luvo Manyonga,RSA,male,,athletics,0,1,0
Ly Ho Thi,VIE,female,1.72,rowing,0,0,0
Lydia Chebet Rotich,KEN,female,1.57,athletics,0,0,0
Lydia Jele,BOT,female,,athletics,0,0,0
Lydia Ko,NZL,male,1.67,golf,0,1,0
Lydia Paterson,USA,female,1.63,shooting,0,0,0
Lydia Williams,AUS,female,1.75,football,0,0,0
Lyes Bouyacoub,ALG,male,1.85,judo,0,0,0
Lynda Kiejko,CAN,female,1.57,shooting,0,0,0
Lynda Morales,PUR,female,1.88,volleyball,0,0,0
Lyndal Oatley,AUS,female,1.76,equestrian,0,0,0
Lynett Mutokuto,ZIM,female,1.61,football,0,0,0
Lynique Prinsloo,RSA,female,1.69,athletics,0,0,0
Lynn Symansky,USA,female,1.71,equestrian,0,0,0
Lynsey Sharp,GBR,female,1.74,athletics,0,0,0
Lyubomira Kazanova,BUL,female,1.77,gymnastics,0,0,1
Lyubov Shutova,RUS,female,1.77,fencing,0,0,1
M Bar N Diaye,FRA,male,1.93,taekwondo,0,0,0
Maaike Head,NED,female,1.73,rowing,1,0,0
Maarten Brzoskowski,NED,male,1.84,aquatics,0,0,0
Maartje Paumen,NED,female,1.76,hockey,0,1,0
Maayan Davidovich,ISR,female,1.67,sailing,0,0,0
Macarena Aguilar,ESP,female,1.70,handball,0,0,0
Macarena Gandulfo,ARG,female,1.74,handball,0,0,0
Macarena Sans,ARG,female,1.65,handball,0,0,0
Machel Cedenio,TTO,male,1.83,athletics,0,0,0
Maciej Bodnar,POL,male,1.86,cycling,0,0,0
Maciej Okreglak,POL,male,1.76,canoe,0,0,0
Maciej Sarnacki,POL,male,2.00,judo,0,0,0
Mack Darragh,CAN,male,1.85,aquatics,0,0,0
Mack Horton,AUS,male,1.90,aquatics,1,0,0
Mackenzie Arnold,AUS,female,1.79,football,0,0,0
Mackenzie Brown,USA,female,1.77,archery,0,0,0
Madai Perez,MEX,female,1.58,athletics,0,0,0
Madalina Beres,ROU,female,1.86,rowing,0,0,1
Madara Palameika,LAT,female,1.84,athletics,0,0,0
Maddie Hinch,GBR,female,1.68,hockey,1,0,0
Maddison Keeney,AUS,female,1.67,aquatics,0,0,1
Madelein Meppelink,NED,female,1.83,volleyball,0,0,0
Madeleine Edmunds,AUS,female,1.87,rowing,0,0,0
Madeline Dirado,USA,female,1.76,aquatics,2,1,1
Madeline Groves,AUS,female,1.79,aquatics,0,2,0
Madeline Heiner Hills,AUS,female,1.74,athletics,0,0,0
Madeline Musselman,USA,female,1.81,aquatics,1,0,0
Madiea Ghafoor,NED,female,1.69,athletics,0,0,0
Madison Hughes,USA,male,1.73,rugby sevens,0,0,0
Madison Keys,USA,female,1.78,tennis,0,0,0
Madison Kocian,USA,female,1.58,gymnastics,1,1,0
Madison Wilson,AUS,female,1.79,aquatics,1,1,0
Madonna Blyth,AUS,female,1.65,hockey,0,0,0
Mads Christiansen,DEN,male,1.97,handball,1,0,0
Mads Glaesner,DEN,male,1.91,aquatics,0,0,0
Mads Hendeliowitz,SWE,male,1.78,equestrian,0,0,0
Mads Mensah Larsen,DEN,male,1.88,handball,1,0,0
Mads Rasmussen,DEN,male,1.83,rowing,0,0,0
Mael Ambonguilat,GAB,male,1.70,aquatics,0,0,0
Magaly Bonilla,ECU,female,1.52,athletics,0,0,0
Magda Alfredo Cazanga,ANG,female,1.72,handball,0,0,0
Magda Linette,POL,female,1.71,tennis,0,0,0
Magdalena Eriksson,SWE,female,1.72,football,0,1,0
Magdalena Fularczyk-Kozlowska,POL,female,1.73,rowing,1,0,0
Magdalena Garro,ARG,female,1.60,canoe,0,0,0
Magdalena Lobnig,AUT,female,1.80,rowing,0,0,0
Magdalena Ruth Alex Moshi,TAN,female,1.69,aquatics,0,0,0
Magdiel Estrada,CUB,male,1.76,judo,0,0,0
Maggie Hogan,USA,female,1.71,canoe,0,0,0
Maggie Malone,USA,female,1.73,athletics,0,0,0
Maggie Steffens,USA,female,1.73,aquatics,1,0,0
Magnus Kirt,EST,male,1.92,athletics,0,0,0
Magnus Westermann,DEN,male,1.94,aquatics,0,0,0
Magomed Idrisovitch Ibragimov,UZB,male,1.83,wrestling,0,0,1
Magomed Musaev,KGZ,male,1.81,wrestling,0,0,0
Magomedmurad Gadzhiev,POL,male,1.65,wrestling,0,0,0
Maha Abdel Salam,EGY,female,1.72,aquatics,0,0,0
Maha Amer,EGY,female,1.65,aquatics,0,0,0
Maha Haddioui,MAR,female,1.68,golf,0,0,0
Mahama Cho,GBR,male,1.96,taekwondo,0,0,0
Mahaman Smaila,CMR,male,1.78,boxing,0,0,0
Mahammadrasul Majidov,AZE,male,1.90,boxing,0,0,0
Maharu Yoshimura,JPN,male,1.77,table tennis,0,1,0
Mahau Suguimati,BRA,male,1.84,athletics,0,0,0
Mahdi Kamil,IRQ,male,1.70,football,0,0,0
Mahdi Khodabakhshi,IRI,male,1.92,taekwondo,0,0,0
Mahdi Marandi,IRI,male,1.72,volleyball,0,0,0
Mahe Drysdale,NZL,male,2.00,rowing,1,0,0
Mahiedine Mekhissi,FRA,male,1.90,athletics,0,0,1
Mahlagha Jambozorg,IRI,female,1.69,shooting,0,0,0
Mahmood Haji,BRN,male,1.75,shooting,0,0,0
Mahmoud Abdelaal,EGY,male,1.76,boxing,0,0,0
Mahmoud Fawzy Rashad Sebie,EGY,male,1.65,wrestling,0,0,0
Mahmoud Khalil,EGY,male,1.92,handball,0,0,0
Mahmoud Samimi,IRI,male,1.86,athletics,0,0,0
Mahsa Javar,IRI,female,1.73,rowing,0,0,0
Mai Ito,JPN,female,1.56,athletics,0,0,0
Mai Murakami,JPN,female,1.46,gymnastics,0,0,0
Mai Nakamura,JPN,female,1.63,aquatics,0,0,1
Mai Yamaguchi,JPN,female,1.76,volleyball,0,0,0
Maia Agerup,NOR,female,,sailing,0,0,0
Maialen Chourraut,ESP,female,1.61,canoe,1,0,0
Maica Garcia Godoy,ESP,female,1.88,aquatics,0,0,0
Maicel Uibo,EST,male,1.88,athletics,0,0,0
Maicol Verzotto,ITA,male,1.72,aquatics,0,0,0
Maicon Siqueira,BRA,male,1.90,taekwondo,0,0,1
Maik dos Santos,BRA,male,1.80,handball,0,0,0
Maikel van der Vleuten,NED,male,1.70,equestrian,0,0,0
Maila Machado,BRA,female,1.67,athletics,0,0,0
Maimouna Diarra,SEN,female,1.98,basketball,0,0,0
Mairaj Ahmad Khan,IND,male,1.81,shooting,0,0,0
Maizurah Abdul Rahim,BRU,female,1.47,athletics,0,0,0
Maja Mihalinec,SLO,female,1.68,athletics,0,0,0
Maja Neuenschwander,SUI,female,1.68,athletics,0,0,0
Maja Ognjenovic,SRB,female,1.83,volleyball,0,1,0
Maja Siegenthaler,SUI,female,1.72,sailing,0,0,0
Maja Wloszczowska,POL,female,1.70,cycling,0,1,0
Majd Eddin Ghazal,SYR,male,2.05,athletics,0,0,0
Majda Mehmedovic,MNE,female,1.70,handball,0,0,0
Majlinda Kelmendi,KOS,female,1.62,judo,1,0,0
Maka Unufe,USA,male,1.88,rugby sevens,0,0,0
Makenzie Fischer,USA,female,1.86,aquatics,1,0,0
Maki Sakaguchi,JPN,female,1.58,hockey,0,0,0
Maki Takada,JPN,female,1.83,basketball,0,0,0
Makiko Tomita,JPN,female,1.70,rugby sevens,0,0,0
Makoto Tomizawa,JPN,male,1.81,sailing,0,0,0
Makoura Keita,GUI,female,1.75,athletics,0,0,0
Makrem Missaoui,TUN,male,1.88,handball,0,0,0
Maksim Inic,MNE,male,1.86,aquatics,0,0,0
Maksim Manukyan,ARM,male,1.77,wrestling,0,0,0
Maksim Niastsiarenka,BLR,male,1.93,athletics,0,0,0
Maksim Oberemko,RUS,male,1.86,sailing,0,0,0
Maksym Averin,AZE,male,1.89,cycling,0,0,0
Maksym Dolgov,UKR,male,1.76,aquatics,0,0,0
Maksym Khvorost,UKR,male,1.86,fencing,0,0,0
Maksym Semiankiv,UKR,male,1.72,gymnastics,0,0,0
Malaika Mihambo,GER,female,1.70,athletics,0,0,0
Malek Jaziri,TUN,male,1.85,tennis,0,0,0
Malgorzata Bialecka,POL,female,1.64,sailing,0,0,0
Malgorzata Holub,POL,female,1.68,athletics,0,0,0
Malgorzata Kozaczuk,POL,female,1.70,fencing,0,0,0
Malgorzata Wojtyra,POL,female,1.76,cycling,0,0,0
Malgorzta Jasinska,POL,female,1.69,cycling,0,0,0
Malika Akkaoui,MAR,female,1.60,athletics,0,0,0
Malin Baryard-Johnsson,SWE,female,1.72,equestrian,0,0,0
Malin Johanna Mattsson,SWE,female,1.69,wrestling,0,0,0
Malin Westerheim,NOR,female,,shooting,0,0,0
Malina Calugareanu,ROU,female,1.76,fencing,0,0,0
Mallory Pugh,USA,female,1.62,football,0,0,0
Malte Jakschik,GER,male,1.94,rowing,0,1,0
Malwina Kopron,POL,female,,athletics,0,0,0
Mamadama Bangoura,GUI,female,1.76,judo,0,0,0
Mamadou Cherif Dia,MLI,male,1.80,athletics,0,0,0
Mamadou Kasse Hann,FRA,male,1.89,athletics,0,0,0
Mamdouh Abdelrehim,EGY,male,2.07,volleyball,0,0,0
Mamdouh Taha Abouebaid,EGY,male,1.89,handball,0,0,0
Mame Marie Sy,SEN,female,1.85,basketball,0,0,0
Mame-Ibra Anne,FRA,male,1.84,athletics,0,0,0
Mamed Ibragimov,KAZ,male,1.71,wrestling,0,0,0
Mamello Makhabane,RSA,female,1.59,football,0,0,0
Mami Umeki,JPN,female,1.74,judo,0,0,0
Mamina Kone,CIV,female,1.73,taekwondo,0,0,0
Mammadali Mehdiyev,AZE,male,1.88,judo,0,0,0
Mamoudou Eliman Hanne,FRA,male,1.86,athletics,0,0,0
Man Asaad,SYR,male,1.90,weightlifting,0,0,0
Man Sun,CHN,male,1.88,rowing,0,0,0
Man Wai Vivian Kong,HKG,female,1.78,fencing,0,0,0
Man Yang,CHN,female,1.86,football,0,0,0
Manami Doi,JPN,female,1.67,sailing,0,0,0
Manavjit Singh Sandhu,IND,male,1.92,shooting,0,0,0
Mandakhnaran Ganzorig,MGL,male,1.65,wrestling,0,0,0
Mandy Bujold,CAN,female,1.60,boxing,0,0,0
Mandy Islacker,GER,female,1.64,football,1,0,0
Mandy Mulder,NED,female,1.70,sailing,0,0,0
Mane,POR,male,1.72,football,0,0,0
Manel Terraza,ESP,male,1.84,hockey,0,0,0
Manfredi Rizza,ITA,male,1.80,canoe,0,0,0
Mangala Samarakoon,SRI,male,1.62,shooting,0,0,0
Manich Bech,DEN,male,1.70,football,0,0,0
Manika Batra,IND,female,1.79,table tennis,0,0,0
Manila Flamini,ITA,female,1.63,aquatics,0,0,0
Manish Singh,IND,male,1.74,athletics,0,0,0
Manoel Dall Igna,FRA,male,1.83,rugby sevens,0,0,0
Manoj Kumar,IND,male,1.75,boxing,0,0,0
Manon Brunet,FRA,female,1.65,fencing,0,0,0
Manon Hostens,FRA,female,1.69,canoe,0,0,0
Manon Houette,FRA,female,1.68,handball,0,1,0
Manon Valentino,FRA,female,1.72,cycling,0,0,0
Manpreet Kaur,IND,female,1.70,athletics,0,0,0
Manpreet Singh,IND,male,1.72,hockey,0,0,0
Manqi Ge,CHN,female,1.62,athletics,0,0,0
Manrique Larduet,CUB,male,1.60,gymnastics,0,0,0
Mantas Kalnietis,LTU,male,1.94,basketball,0,0,0
Manu Attri,IND,male,1.72,badminton,0,0,0
Manu Ginobili,ARG,male,1.98,basketball,0,0,0
Manuel Alexander Torres,VEN,male,1.76,wrestling,0,0,0
Manuel Brunet,ARG,male,1.79,hockey,1,0,0
Manuel Cappai,ITA,male,1.68,boxing,0,0,0
Manuel Esteban Soto,COL,male,1.70,athletics,0,0,0
Manuel Fernandez Saro,ESP,male,1.78,equestrian,0,0,0
Manuel Fumic,GER,male,1.73,cycling,0,0,0
Manuel Huerta,PUR,male,1.68,triathlon,0,0,0
Manuel Lajud,MEX,male,1.88,football,0,0,0
Manuel Lelo,ANG,male,1.82,sailing,0,0,0
Manuel Rodas Ochoa,GUA,male,1.71,cycling,0,0,0
Manuel Strlek,CRO,male,1.82,handball,0,0,0
Manuel Tavares de Almeida,BRA,male,1.82,equestrian,0,0,0
Manuela Pizzo,ARG,female,1.77,handball,0,0,0
Manuela Soccol,BEL,female,1.57,athletics,0,0,0
