name,nationality,sex,height,sport,gold,silver,bronze
Alexey Verbov,RUS,male,1.83,volleyball,0,0,0
Alexey Yakimenko,RUS,male,1.84,fencing,0,0,0
Alexi Pappas,GRE,female,,athletics,0,0,0
Alexis Gonzalez,ARG,male,1.84,volleyball,0,0,0
Alexis Raynaud,FRA,male,1.72,shooting,0,0,1
Alexis Santos,POR,male,1.85,aquatics,0,0,0
Alexis Soto,ARG,male,1.64,football,0,0,0
Alexis Vuillermoz,FRA,male,1.73,cycling,0,0,0
Alexus Laird,SEY,female,1.72,aquatics,0,0,0
Alfonso Antonio Leyva Yepez,MEX,male,1.81,wrestling,0,0,0
Alfonso Benavides Lopez de Ayala,ESP,male,1.82,canoe,0,0,0
